rank,numbers,confidence_score,confidence_level,hot_score,gap_score,pair_score,balance_score,reason
1,01 08 16 24 32,50.0,啟動,0,50,0,75.0,尚未累積 539 資料，先顯示分散啟動組合
2,02 09 17 25 33,50.0,啟動,0,50,0,75.0,尚未累積 539 資料，先顯示分散啟動組合
3,03 10 18 26 34,50.0,啟動,0,50,0,75.0,尚未累積 539 資料，先顯示分散啟動組合
4,04 11 19 27 35,50.0,啟動,0,50,0,75.0,尚未累積 539 資料，先顯示分散啟動組合
5,05 12 20 28 36,50.0,啟動,0,50,0,75.0,尚未累積 539 資料，先顯示分散啟動組合
6,06 13 21 29 37,50.0,啟動,0,50,0,75.0,尚未累積 539 資料，先顯示分散啟動組合
7,07 14 22 30 38,50.0,啟動,0,50,0,75.0,尚未累積 539 資料，先顯示分散啟動組合
8,08 15 23 31 39,50.0,啟動,0,50,0,75.0,尚未累積 539 資料，先顯示分散啟動組合
9,01 12 18 29 35,50.0,啟動,0,50,0,75.0,尚未累積 539 資料，先顯示分散啟動組合
10,02 11 20 27 38,50.0,啟動,0,50,0,75.0,尚未累積 539 資料，先顯示分散啟動組合
11,03 14 21 30 36,50.0,啟動,0,50,0,75.0,尚未累積 539 資料，先顯示分散啟動組合
12,04 09 22 28 39,50.0,啟動,0,50,0,75.0,尚未累積 539 資料，先顯示分散啟動組合
13,05 16 23 31 37,50.0,啟動,0,50,0,75.0,尚未累積 539 資料，先顯示分散啟動組合
14,06 10 19 25 34,50.0,啟動,0,50,0,75.0,尚未累積 539 資料，先顯示分散啟動組合
15,07 13 17 26 33,50.0,啟動,0,50,0,75.0,尚未累積 539 資料，先顯示分散啟動組合
16,01 15 21 28 39,50.0,啟動,0,50,0,75.0,尚未累積 539 資料，先顯示分散啟動組合
17,02 08 19 30 37,50.0,啟動,0,50,0,75.0,尚未累積 539 資料，先顯示分散啟動組合
18,03 11 22 29 38,50.0,啟動,0,50,0,75.0,尚未累積 539 資料，先顯示分散啟動組合
19,04 12 23 26 35,50.0,啟動,0,50,0,75.0,尚未累積 539 資料，先顯示分散啟動組合
20,05 14 18 31 36,50.0,啟動,0,50,0,75.0,尚未累積 539 資料，先顯示分散啟動組合
