number,count,last_seen_gap,score
1,1,1,1.08
3,1,1,1.08
5,1,1,1.08
8,1,1,1.08
14,1,1,1.08
2,1,0,1.0
11,1,0,1.0
28,1,0,1.0
32,1,0,1.0
33,1,0,1.0
4,0,2,0.16
6,0,2,0.16
7,0,2,0.16
9,0,2,0.16
10,0,2,0.16
12,0,2,0.16
13,0,2,0.16
15,0,2,0.16
16,0,2,0.16
17,0,2,0.16
18,0,2,0.16
19,0,2,0.16
20,0,2,0.16
21,0,2,0.16
22,0,2,0.16
23,0,2,0.16
24,0,2,0.16
25,0,2,0.16
26,0,2,0.16
27,0,2,0.16
29,0,2,0.16
30,0,2,0.16
31,0,2,0.16
34,0,2,0.16
35,0,2,0.16
36,0,2,0.16
37,0,2,0.16
38,0,2,0.16
39,0,2,0.16
