number,count,last_seen_gap,score
16,1,1,1.08
29,1,1,1.08
30,1,1,1.08
35,1,1,1.08
42,1,1,1.08
43,1,1,1.08
2,1,0,1.0
3,1,0,1.0
4,1,0,1.0
5,1,0,1.0
10,1,0,1.0
49,1,0,1.0
1,0,2,0.16
6,0,2,0.16
7,0,2,0.16
8,0,2,0.16
9,0,2,0.16
11,0,2,0.16
12,0,2,0.16
13,0,2,0.16
14,0,2,0.16
15,0,2,0.16
17,0,2,0.16
18,0,2,0.16
19,0,2,0.16
20,0,2,0.16
21,0,2,0.16
22,0,2,0.16
23,0,2,0.16
24,0,2,0.16
25,0,2,0.16
26,0,2,0.16
27,0,2,0.16
28,0,2,0.16
31,0,2,0.16
32,0,2,0.16
33,0,2,0.16
34,0,2,0.16
36,0,2,0.16
37,0,2,0.16
38,0,2,0.16
39,0,2,0.16
40,0,2,0.16
41,0,2,0.16
44,0,2,0.16
45,0,2,0.16
46,0,2,0.16
47,0,2,0.16
48,0,2,0.16
