number,count,last_seen_gap,score
1,1,0,1.0
6,1,0,1.0
8,1,0,1.0
9,1,0,1.0
17,1,0,1.0
21,1,0,1.0
2,0,1,0.08
3,0,1,0.08
4,0,1,0.08
5,0,1,0.08
7,0,1,0.08
10,0,1,0.08
11,0,1,0.08
12,0,1,0.08
13,0,1,0.08
14,0,1,0.08
15,0,1,0.08
16,0,1,0.08
18,0,1,0.08
19,0,1,0.08
20,0,1,0.08
22,0,1,0.08
23,0,1,0.08
24,0,1,0.08
25,0,1,0.08
26,0,1,0.08
27,0,1,0.08
28,0,1,0.08
29,0,1,0.08
30,0,1,0.08
31,0,1,0.08
32,0,1,0.08
33,0,1,0.08
34,0,1,0.08
35,0,1,0.08
36,0,1,0.08
37,0,1,0.08
38,0,1,0.08
39,0,1,0.08
40,0,1,0.08
41,0,1,0.08
42,0,1,0.08
43,0,1,0.08
44,0,1,0.08
45,0,1,0.08
46,0,1,0.08
47,0,1,0.08
48,0,1,0.08
49,0,1,0.08
